ID;EVTYPE;New_EVTYPE
357;THUNDEERSTORM WINDS;Thunderstorm Wind
358;THUNDERESTORM WINDS;Thunderstorm Wind
359;THUNDERSNOW;Thunderstorm Wind
360;THUNDERSTORM;Thunderstorm Wind
361;THUNDERSTORM  WINDS;Thunderstorm Wind
362;THUNDERSTORM DAMAGE TO;Thunderstorm Wind
363;THUNDERSTORM HAIL;Thunderstorm Wind
364;THUNDERSTORM WIND;Thunderstorm Wind
365;THUNDERSTORM WIND (G40);Thunderstorm Wind
366;THUNDERSTORM WIND 60 MPH;Thunderstorm Wind
367;THUNDERSTORM WIND 65 MPH;Thunderstorm Wind
368;THUNDERSTORM WIND 65MPH;Thunderstorm Wind
369;THUNDERSTORM WIND 98 MPH;Thunderstorm Wind
370;THUNDERSTORM WIND G50;Thunderstorm Wind
371;THUNDERSTORM WIND G52;Thunderstorm Wind
372;THUNDERSTORM WIND G55;Thunderstorm Wind
373;THUNDERSTORM WIND G60;Thunderstorm Wind
374;THUNDERSTORM WIND TREES;Thunderstorm Wind
375;THUNDERSTORM WIND.;Thunderstorm Wind
376;THUNDERSTORM WIND/ TREE;Thunderstorm Wind
377;THUNDERSTORM WIND/ TREES;Thunderstorm Wind
378;THUNDERSTORM WIND/AWNING;Thunderstorm Wind
379;THUNDERSTORM WIND/HAIL;Thunderstorm Wind
380;THUNDERSTORM WIND/LIGHTNING;Thunderstorm Wind
381;THUNDERSTORM WINDS;Thunderstorm Wind
382;THUNDERSTORM WINDS 13;Thunderstorm Wind
383;THUNDERSTORM WINDS 63 MPH;Thunderstorm Wind
384;THUNDERSTORM WINDS AND;Thunderstorm Wind
385;THUNDERSTORM WINDS G60;Thunderstorm Wind
386;THUNDERSTORM WINDS HAIL;Thunderstorm Wind
387;THUNDERSTORM WINDS LIGHTNING;Thunderstorm Wind
388;THUNDERSTORM WINDS.;Thunderstorm Wind
389;THUNDERSTORM WINDS/ FLOOD;Thunderstorm Wind
390;THUNDERSTORM WINDS/FLOODING;Thunderstorm Wind
391;THUNDERSTORM WINDS/FUNNEL CLOU;Thunderstorm Wind
392;THUNDERSTORM WINDS/HAIL;Thunderstorm Wind
393;THUNDERSTORM WINDS53;Thunderstorm Wind
394;THUNDERSTORM WINDSHAIL;Thunderstorm Wind
395;THUNDERSTORM WINDSS;Thunderstorm Wind
396;THUNDERSTORM WINS;Thunderstorm Wind
397;THUNDERSTORMS;Thunderstorm Wind
398;THUNDERSTORMS WIND;Thunderstorm Wind
399;THUNDERSTORMS WINDS;Thunderstorm Wind
400;THUNDERSTORMW;Thunderstorm Wind
401;THUNDERSTORMWINDS;Thunderstorm Wind
402;THUNDERSTROM WIND;Thunderstorm Wind
403;THUNDERTORM WINDS;Thunderstorm Wind
404;THUNERSTORM WINDS;Thunderstorm Wind
405;Tidal Flooding;Coastal Flood
406;TIDAL FLOODING;Coastal Flood
407;TORNADO;Tornado
408;TORNADO F0;Tornado
409;TORNADO F1;Tornado
410;TORNADO F2;Tornado
411;TORNADO F3;Tornado
412;TORNADOES;Tornado
413;TORNADOES, TSTM WIND, HAIL;Tornado
414;TORNDAO;Tornado
415;Torrential Rainfall;Heavy Rain
416;TROPICAL DEPRESSION;Tropical Depression
417;TROPICAL STORM;Tropical Storm
418;TROPICAL STORM ALBERTO;Tropical Storm
419;TROPICAL STORM DEAN;Tropical Storm
420;TROPICAL STORM GORDON;Tropical Storm
421;TROPICAL STORM JERRY;Tropical Storm
422;Tstm Wind;Thunderstorm Wind
423;TSTM WIND;Thunderstorm Wind
424;TSTM WIND  (G45);Thunderstorm Wind
425;TSTM WIND (41);Thunderstorm Wind
426;TSTM WIND (G35);Thunderstorm Wind
427;TSTM WIND (G40);Thunderstorm Wind
428;TSTM WIND (G45);Thunderstorm Wind
429;TSTM WIND 40;Thunderstorm Wind
430;TSTM WIND 45;Thunderstorm Wind
431;TSTM WIND 55;Thunderstorm Wind
432;TSTM WIND 65);Thunderstorm Wind
433;TSTM WIND AND LIGHTNING;Thunderstorm Wind
434;TSTM WIND DAMAGE;Thunderstorm Wind
435;TSTM WIND G45;Thunderstorm Wind
436;TSTM WIND G58;Thunderstorm Wind
437;TSTM WIND/HAIL;Thunderstorm Wind
438;TSTM WINDS;Thunderstorm Wind
439;TSTMW;Thunderstorm Wind
440;TSUNAMI;Tsunami
441;TUNDERSTORM WIND;Thunderstorm Wind
442;TYPHOON;Hurricane (Typhoon)
443;Unseasonable Cold;Extreme Cold Wind Chill
444;UNSEASONABLY COLD;Extreme Cold Wind Chill
445;UNSEASONABLY WARM;Heat
446;UNSEASONABLY WARM AND DRY;Heat
447;UNSEASONAL RAIN;Heavy Rain
448;URBAN AND SMALL;Flood
449;URBAN AND SMALL STREAM FLOODIN;Flood
450;URBAN FLOOD;Flood
451;URBAN FLOODING;Flood
452;URBAN FLOODS;Flood
453;URBAN SMALL;Flood
454;URBAN/SMALL STREAM;Flood
455;URBAN/SMALL STREAM FLOOD;Flood
456;URBAN/SML STREAM FLD;Flood
457;VOLCANIC ASH;Volcanic Ash
458;WARM WEATHER;Heat
459;WATERSPOUT;Waterspout
460;WATERSPOUT-;Waterspout
461;WATERSPOUT-TORNADO;Waterspout
462;WATERSPOUT TORNADO;Waterspout
463;WATERSPOUT/ TORNADO;Waterspout
464;WATERSPOUT/TORNADO;Waterspout
465;WET MICROBURST;Waterspout
466;Whirlwind;High Wind
467;WHIRLWIND;High Wind
468;WILD FIRES;Wildfire
469;WILD/FOREST FIRE;Wildfire
470;WILD/FOREST FIRES;Wildfire
471;WILDFIRE;Wildfire
472;WILDFIRES;Wildfire
473;Wind;Strong Wind
474;WIND;Strong Wind
475;WIND AND WAVE;Strong Wind
476;Wind Damage;Strong Wind
477;WIND DAMAGE;Strong Wind
478;WIND STORM;Strong Wind
479;WIND/HAIL;Hail
480;WINDS;Strong Wind
481;WINTER STORM;Winter Storm
482;WINTER STORM HIGH WINDS;Winter Storm
483;WINTER STORMS;Winter Storm
484;WINTER WEATHER;Winter Weather
485;WINTER WEATHER MIX;Winter Weather
486;WINTER WEATHER/MIX;Winter Weather
487;Wintry Mix;Winter Weather
488;WINTRY MIX;Winter Weather
