"","x"
"243","Lake Effect Snow"
"244","LAKE EFFECT SNOW"
"245","LAKE FLOOD"
"246","LAKESHORE FLOOD"
"247","LANDSLIDE"
"248","LANDSLIDES"
"249","Landslump"
"250","LANDSPOUT"
"251","LATE SEASON SNOW"
"252","LIGHT FREEZING RAIN"
"253","Light snow"
"254","Light Snow"
"255","LIGHT SNOW"
"256","Light Snowfall"
"257","LIGHTING"
"258","LIGHTNING"
"259","LIGHTNING  WAUSEON"
"260","LIGHTNING AND HEAVY RAIN"
"261","LIGHTNING AND THUNDERSTORM WIN"
"262","LIGHTNING FIRE"
"263","LIGHTNING INJURY"
"264","LIGHTNING THUNDERSTORM WINDS"
"265","LIGHTNING."
"266","LIGHTNING/HEAVY RAIN"
"267","LIGNTNING"
"268","LOW TEMPERATURE"
"269","MAJOR FLOOD"
"270","Marine Accident"
"271","MARINE HAIL"
"272","MARINE HIGH WIND"
"273","MARINE MISHAP"
"274","MARINE STRONG WIND"
"275","MARINE THUNDERSTORM WIND"
"276","MARINE TSTM WIND"
"277","Microburst"
"278","MICROBURST"
"279","MICROBURST WINDS"
"280","MINOR FLOODING"
"281","MIXED PRECIP"
"282","Mixed Precipitation"
"283","MIXED PRECIPITATION"
"284","MUD SLIDE"
"285","MUD SLIDES"
"286","MUD SLIDES URBAN FLOODING"
"287","Mudslide"
"288","MUDSLIDE"
"289","Mudslides"
"290","MUDSLIDES"
"291","NON-SEVERE WIND DAMAGE"
"292","NON-TSTM WIND"
"293","NON TSTM WIND"
"294","Other"
"295","OTHER"
"296","RAIN"
"297","RAIN/SNOW"
"298","RAIN/WIND"
"299","RAINSTORM"
"300","RAPIDLY RISING WATER"
"301","RECORD COLD"
"302","RECORD HEAT"
"303","RECORD RAINFALL"
"304","RECORD SNOW"
"305","RECORD/EXCESSIVE HEAT"
"306","RIP CURRENT"
"307","RIP CURRENTS"
"308","RIP CURRENTS/HEAVY SURF"
"309","RIVER AND STREAM FLOOD"
"310","RIVER FLOOD"
"311","River Flooding"
"312","RIVER FLOODING"
"313","ROCK SLIDE"
"314","ROGUE WAVE"
"315","ROUGH SEAS"
"316","ROUGH SURF"
"317","RURAL FLOOD"
"318","SEICHE"
"319","SEVERE THUNDERSTORM"
"320","SEVERE THUNDERSTORM WINDS"
"321","SEVERE THUNDERSTORMS"
"322","SEVERE TURBULENCE"
"323","SLEET"
"324","SLEET/ICE STORM"
"325","SMALL HAIL"
"326","SMALL STREAM FLOOD"
"327","Snow"
"328","SNOW"
"329","SNOW ACCUMULATION"
"330","SNOW AND HEAVY SNOW"
"331","SNOW AND ICE"
"332","SNOW AND ICE STORM"
"333","SNOW FREEZING RAIN"
"334","SNOW SQUALL"
"335","Snow Squalls"
"336","SNOW SQUALLS"
"337","SNOW/ BITTER COLD"
"338","SNOW/ ICE"
"339","SNOW/BLOWING SNOW"
"340","SNOW/COLD"
"341","SNOW/FREEZING RAIN"
"342","SNOW/HEAVY SNOW"
"343","SNOW/HIGH WINDS"
"344","SNOW/ICE"
"345","SNOW/ICE STORM"
"346","SNOW/SLEET"
"347","SNOW/SLEET/FREEZING RAIN"
"348","SNOWMELT FLOODING"
"349","STORM FORCE WINDS"
"350","STORM SURGE"
"351","STORM SURGE/TIDE"
"352","Strong Wind"
"353","STRONG WIND"
"354","Strong Winds"
"355","STRONG WINDS"
"356","THUDERSTORM WINDS"
"357","THUNDEERSTORM WINDS"
"358","THUNDERESTORM WINDS"
"359","THUNDERSNOW"
"360","THUNDERSTORM"
"361","THUNDERSTORM  WINDS"
"362","THUNDERSTORM DAMAGE TO"
"363","THUNDERSTORM HAIL"
"364","THUNDERSTORM WIND"
"365","THUNDERSTORM WIND (G40)"
"366","THUNDERSTORM WIND 60 MPH"
"367","THUNDERSTORM WIND 65 MPH"
"368","THUNDERSTORM WIND 65MPH"
"369","THUNDERSTORM WIND 98 MPH"
"370","THUNDERSTORM WIND G50"
"371","THUNDERSTORM WIND G52"
"372","THUNDERSTORM WIND G55"
"373","THUNDERSTORM WIND G60"
"374","THUNDERSTORM WIND TREES"
"375","THUNDERSTORM WIND."
"376","THUNDERSTORM WIND/ TREE"
"377","THUNDERSTORM WIND/ TREES"
"378","THUNDERSTORM WIND/AWNING"
"379","THUNDERSTORM WIND/HAIL"
"380","THUNDERSTORM WIND/LIGHTNING"
"381","THUNDERSTORM WINDS"
"382","THUNDERSTORM WINDS 13"
"383","THUNDERSTORM WINDS 63 MPH"
"384","THUNDERSTORM WINDS AND"
"385","THUNDERSTORM WINDS G60"
"386","THUNDERSTORM WINDS HAIL"
"387","THUNDERSTORM WINDS LIGHTNING"
"388","THUNDERSTORM WINDS."
"389","THUNDERSTORM WINDS/ FLOOD"
"390","THUNDERSTORM WINDS/FLOODING"
"391","THUNDERSTORM WINDS/FUNNEL CLOU"
"392","THUNDERSTORM WINDS/HAIL"
"393","THUNDERSTORM WINDS53"
"394","THUNDERSTORM WINDSHAIL"
"395","THUNDERSTORM WINDSS"
"396","THUNDERSTORM WINS"
"397","THUNDERSTORMS"
"398","THUNDERSTORMS WIND"
"399","THUNDERSTORMS WINDS"
"400","THUNDERSTORMW"
"401","THUNDERSTORMWINDS"
"402","THUNDERSTROM WIND"
"403","THUNDERTORM WINDS"
"404","THUNERSTORM WINDS"
"405","Tidal Flooding"
"406","TIDAL FLOODING"
"407","TORNADO"
"408","TORNADO F0"
"409","TORNADO F1"
"410","TORNADO F2"
"411","TORNADO F3"
"412","TORNADOES"
"413","TORNADOES, TSTM WIND, HAIL"
"414","TORNDAO"
"415","Torrential Rainfall"
"416","TROPICAL DEPRESSION"
"417","TROPICAL STORM"
"418","TROPICAL STORM ALBERTO"
"419","TROPICAL STORM DEAN"
"420","TROPICAL STORM GORDON"
"421","TROPICAL STORM JERRY"
"422","Tstm Wind"
"423","TSTM WIND"
"424","TSTM WIND  (G45)"
"425","TSTM WIND (41)"
"426","TSTM WIND (G35)"
"427","TSTM WIND (G40)"
"428","TSTM WIND (G45)"
"429","TSTM WIND 40"
"430","TSTM WIND 45"
"431","TSTM WIND 55"
"432","TSTM WIND 65)"
"433","TSTM WIND AND LIGHTNING"
"434","TSTM WIND DAMAGE"
"435","TSTM WIND G45"
"436","TSTM WIND G58"
"437","TSTM WIND/HAIL"
"438","TSTM WINDS"
"439","TSTMW"
"440","TSUNAMI"
"441","TUNDERSTORM WIND"
"442","TYPHOON"
"443","Unseasonable Cold"
"444","UNSEASONABLY COLD"
"445","UNSEASONABLY WARM"
"446","UNSEASONABLY WARM AND DRY"
"447","UNSEASONAL RAIN"
"448","URBAN AND SMALL"
"449","URBAN AND SMALL STREAM FLOODIN"
"450","URBAN FLOOD"
"451","URBAN FLOODING"
"452","URBAN FLOODS"
"453","URBAN SMALL"
"454","URBAN/SMALL STREAM"
"455","URBAN/SMALL STREAM FLOOD"
"456","URBAN/SML STREAM FLD"
"457","VOLCANIC ASH"
"458","WARM WEATHER"
"459","WATERSPOUT"
"460","WATERSPOUT-"
"461","WATERSPOUT-TORNADO"
"462","WATERSPOUT TORNADO"
"463","WATERSPOUT/ TORNADO"
"464","WATERSPOUT/TORNADO"
"465","WET MICROBURST"
"466","Whirlwind"
"467","WHIRLWIND"
"468","WILD FIRES"
"469","WILD/FOREST FIRE"
"470","WILD/FOREST FIRES"
"471","WILDFIRE"
"472","WILDFIRES"
"473","Wind"
"474","WIND"
"475","WIND AND WAVE"
"476","Wind Damage"
"477","WIND DAMAGE"
"478","WIND STORM"
"479","WIND/HAIL"
"480","WINDS"
"481","WINTER STORM"
"482","WINTER STORM HIGH WINDS"
"483","WINTER STORMS"
"484","WINTER WEATHER"
"485","WINTER WEATHER MIX"
"486","WINTER WEATHER/MIX"
"487","Wintry Mix"
"488","WINTRY MIX"
